"block","streetName","streetType","streetDirection","overall","crack","patch","length","width","dateRated","dateLastOverlay","flushOil","class","pavement","streetID"
"100","ABERDEEN","TER","","7","3","4","530",22,"12/00","1988","O","Local",3,12581174
"100","ACADEMY","PL","","6","3","3","588",28,"1/01","","O","Local",3,12576512
"100","ACADEMY","ST","","8","4","5","325",25,"1/01","1996","O","Local",3,12571714
"100","ADAMS","ST","E","10","5","5","176",64,"1/01","2000","F","Local",6,12577644
"100","ADAMS","ST","W","10","3","4","352",64,"1/01","2000","F","Local",6,12573680
"100","AINSLEY","DR","","8","4","4","411",26,"12/99","","F","CO",3,12576911
"100","AINSLEY","DR","","8","4","4","411",26,"12/99","","F","CO",3,12576914
"100","ALANSON","RD","","3","1","3","880",18,"12/99","","F","Local",3,12572942
"100","ALANSON","RD","","3","1","3","880",18,"12/99","","F","Local",3,12571891
"100","ALANSON","RD","","3","1","3","880",18,"12/99","","F","Local",3,12572940
"100","ALBERT","RD","","8","3","5","327",27,"12/99","","O","Local",3,12578942
"100","ALDEN","ST","","6","3","4","792",26,"12/99","1989","","Local",3,12576956
"100","ALEXANDER","AVE","","4","2","3","686.4",27,"1/01","","F","Local",4,12577333
"100","ALMOND","ST","","7","3","4","150",54,"3/00","1993","F","Local",6,12577993
"100","ALMOND","ST","","7","3","4","150",54,"3/00","1993","F","Local",6,12578006
"100","ALTON","ST","","6","3","4","1050",25,"12/99","","","Local",3,13002170
"100","ALTON","ST","","6","3","4","1050",25,"12/99","","","Local",3,13011484
"100","ALVORD","ST","S","6","3","4","352",32,"12/99","1987","F","Local",6,12580079
"100","AMES","AVE","","8","4","5","323",26,"12/99","","O","Local",3,12571734
"100","AMHERST","AVE","","5","2","3","557",25,"1/01","","F","Local",4,12576881
"100","AMIDON","DR","","7","3","4","250",27,"1/01","1994","","Local",4,13002105
"100","AMY","ST","","7","3","4","792",27,"1/01","1994","","Local",3,12573417
"100","ANDERSON","AVE","","10","5","5","1150",25,"12/99","1999","O","Local",3,12576600
"100","ANDOVER","RD","","8","4","5","323",21,"12/99","","","Local",6,12577527
"100","ARCH","ST","","7","3","4","546",18,"12/00","","O","Local",3,12581146
"100","ARCHER","RD","","10","5","5","844.8",28,"12/99","1999","","Local",3,12572325
"100","ARDEN","DR","","6","3","4","323",28,"12/99","","","Local",3,12571869
"100","ARDMORE","PL","","8","4","4","317",21,"12/00","1998","O","Local",3,12580665
"100","ARDMORE","PL","","8","4","4","317",21,"12/00","1998","O","Local",3,12580667
"100","ARGONNE","DR","","6","3","3","247",26,"12/99","1985","","Local",3,12572899
"100","ARGYLE","AVE","","6","3","4","175",22,"1/00","1989","O","Local",3,12580767
"100","ARGYLE","TER","","4","2","4","360",25,"12/99","1994","F","Local",3,12573198
"100","ARLINGTON","AVE","","5","3","3","350",36,"1/01","1994","F","Local",6,12572035
"100","ARMSTRONG","PL","","8","4","5","1330",27,"12/99","1995","O","Local",3,12571903
"100","ARNTS","PL","","7","3","4","686.4",28,"12/00","1998","O","Local",3,12575521
"100","ARSENAL","DR","","7","3","5","495",17.5,"1/01","1996","O","Local",3,12576562
"100","ASH","ST","","10","5","5","411",30,"12/99","1999","F","Local",6,12575114
"100","ASHDALE","AVE","","8","4","4","716",27,"12/00","1988","O","Local",3,12581076
"100","ASHWORTH","PL","","7","4","3","600",27,"3/00","1991","F","Local",6,12578137
"100","ATKINSON","AVE","","5","2","3","739.2",23,"12/99","","","Local",3,12572894
"100","ATLANTIC","AVE","","doesn't","intersect","ct Atla","No Houses",NA,"ntic","","","Local",3,12576699
"100","AUSTIN","AVE","","6","3","4","1636.8",23,"12/99","1990","","Local",3,12572328
"100","AVERY","AVE","S","8","4","5","455",36,"1/01","1996","F","CO",6,13010364
"100","AVERY","AVE","S","8","4","5","455",36,"1/01","1996","F","CO",6,13010365
"100","AVERY","AVE","S","8","4","5","455",36,"1/01","1996","F","CO",6,12572698
"100","AVOCA","ST","","5","3","2","422.4",27,"2/00","","","Local",3,12572709
"100","AVON","RD","","5","3","3","686.4",27,"12/00","1993","O","Local",3,12581144
"100","AVONDALE","PL","","5","3","3","561",25,"12/99","","F","Local",4,12577635
"100","BAKER","AVE","","8","5","4","605",27,"12/99","1997","F","Local",6,12577267
"100","BALDWIN","AVE","","8","4","5","1007",27,"1/01","1991","O","Local",3,12571994
"100","BALL","CIR","","7","4","3","1031",26,"12/99","","O","Local",3,12576912
"100","BALLANTYNE","RD","","5","2","3","805",31,"12/99","1990","F","Local",4,12576746
"100","BALLANTYNE","RD","","5","2","3","805",31,"12/99","1990","F","Local",4,13028538
"100","BALLARD","AVE","","5","4","2","375",NA,"1/01","","","Local",NA,12573229
"100","BARKER","AVE","","2","1","4","178",30,"3/00","1990","O","Local",2,12573771
"100","BARNES","AVE","","8","4","5","317",27,"12/99","1991","O","Local",3,12571901
"100","BARNES","AVE","","8","4","5","317",27,"12/99","1991","O","Local",3,12571902
"100","BARRINGTON","RD","","8","4","4","411",30,"1/01","1996","O","Local",3,12579593
"100","BASIN","ST","","4","2","3","455",30,"2/00","","F","Local",4,12575165
"100","BASSETT","ST","","5","3","3","616",27,"1/01","","F","Local",3,12578207
"100","BASSETT","ST","","5","3","3","616",27,"1/01","","F","Local",3,13017590
"100","BASSETT","ST","","5","3","3","616",27,"1/01","","F","Local",3,12578184
"100","BASSETT","ST","","4","2","3","411",27,"1/01","","F","Local",3,12578207
"100","BASSETT","ST","","4","2","3","411",27,"1/01","","F","Local",3,13017590
"100","BASSETT","ST","","4","2","3","411",27,"1/01","","F","Local",3,12578184
"100","BEACON","RD","","5","3","3","264",28,"12/00","","F","Local",6,12581052
"100","BEACON","RD","","5","3","3","264",28,"12/00","","F","Local",6,12581056
"100","BEAR","ST","W","6","4","3","411",36,"2/00","","F","MA",6,13001193
"100","BEAR","ST","W","6","4","3","411",36,"2/00","","F","MA",6,12575201
"100","BEAR","ST","W","6","4","3","411",36,"2/00","","F","MA",6,12575203
"100","BEARD","AVE","E","6","4","3","528",25,"12/99","1991","F","Local",6,12577247
"100","BEARD","AVE","E","6","4","3","528",25,"12/99","1991","F","Local",6,12577248
"100","BEARD","AVE","W","4","3","2","587",28,"1/01","1996","F","Local",6,12577235
"100","BEARD","PL","","6","4","2","580.8",12,"12/99","1993","F","Local",4,12577242
"100","BEATTIE","ST","","7","3","4","900",22,"1/01","1988","O","Local",6,12578829
"100","BEATTIE","ST","","7","3","4","900",22,"1/01","1988","O","Local",6,12578830
"100","BEAUMONT","PL","","6","2","4","293",35,"12/99","1988","O","Local",3,12578937
"100","BEAUMONT","PL","","6","2","4","293",35,"12/99","1988","O","Local",3,13011132
"100","BECKER","ST","","5","3","4","300",19,"1/00","","O","Local",3,12580216
"100","BEECH","ST","S","5","3","3","381",30,"1/01","1983","F","Local",6,12578258
"100","BEECH","ST","S","5","3","3","381",30,"1/01","1983","F","Local",6,12578261
